location_block,amenity_count,score
"40.28,-79.88",2,0.06666666666666667
"40.41,-79.88",2,0.06666666666666667
"40.43,-80.0",2,0.06666666666666667
"40.43,-79.84",2,0.06666666666666667
"40.51,-80.03",2,0.06666666666666667
"40.34,-79.97",2,0.06666666666666667
"40.4,-79.77",2,0.06666666666666667
"40.38,-79.82",2,0.06666666666666667
"40.37,-79.79",2,0.06666666666666667
"40.37,-79.91",2,0.06666666666666667
"40.44,-80.15",2,0.06666666666666667
"40.5,-80.07",2,0.06666666666666667
"40.37,-79.78",2,0.06666666666666667
"40.65,-79.71",1,0.0
"40.62,-79.95",1,0.0
"40.55,-80.19",1,0.0
"40.56,-79.8",1,0.0
"40.36,-79.83",1,0.0
"40.29,-79.89",1,0.0
"40.39,-79.9",1,0.0
"40.39,-79.91",1,0.0
"40.43,-79.94",1,0.0
"40.28,-80.0",1,0.0
"47.15,-2.17",1,0.0
"40.5,-79.79",1,0.0
"40.52,-80.16",1,0.0
"40.48,-79.97",1,0.0
"40.36,-79.98",1,0.0
"40.49,-80.06",1,0.0
"40.51,-80.13",1,0.0
"40.33,-79.81",1,0.0
"40.35,-79.84",1,0.0
"40.45,-80.2",1,0.0
"40.43,-79.86",1,0.0
"40.5,-79.81",1,0.0
"40.52,-79.96",1,0.0
"40.67,-80.1",1,0.0
"40.38,-80.05",1,0.0
"40.38,-80.01",1,0.0
"40.56,-80.44",1,0.0
"40.42,-79.84",1,0.0
"40.43,-79.88",1,0.0
"40.48,-80.0",1,0.0
"40.4,-79.86",1,0.0
"40.51,-80.15",1,0.0
"40.32,-80.09",1,0.0
"40.32,-79.89",1,0.0
"40.41,-79.85",1,0.0
"40.46,-79.88",1,0.0
"40.38,-79.81",1,0.0
"40.6,-79.77",1,0.0
"40.35,-79.89",1,0.0
"40.52,-80.04",1,0.0
"40.35,-79.91",1,0.0
"40.36,-80.0",1,0.0
"40.39,-80.07",1,0.0
"40.56,-80.21",1,0.0
"40.54,-80.01",1,0.0
"22.34,114.14",1,0.0
"40.46,-80.17",1,0.0
"40.43,-79.79",1,0.0
"40.34,-79.86",1,0.0
"40.46,-79.89",1,0.0
"40.48,-79.76",1,0.0
"40.49,-79.92",1,0.0
"40.5,-79.95",1,0.0
"40.52,-80.15",1,0.0
"40.32,-79.99",1,0.0
"40.45,-80.14",1,0.0
"40.44,-80.17",1,0.0
"40.5,-80.18",1,0.0
"40.64,-79.71",1,0.0
"40.51,-79.99",1,0.0
"40.41,-80.09",1,0.0
"40.31,-79.94",1,0.0
"40.53,-79.99",1,0.0
"40.41,-79.82",1,0.0
"40.49,-80.31",1,0.0
"40.55,-80.22",1,0.0
"40.41,-79.87",1,0.0
"40.53,-80.22",1,0.0
"40.45,-79.91",1,0.0
"40.39,-79.97",1,0.0
"40.27,-79.88",1,0.0
"40.49,-79.94",1,0.0
"40.49,-79.97",1,0.0
"40.5,-80.01",1,0.0
"40.47,-80.09",1,0.0
